,log2FoldChange,padj,baseMean,name
ENSG00000137563,6.009934208,3.41E-21,2055.184108,
ENSG00000268942,6.002014395,2.62E-28,204.8039155,
ENSG00000166845,5.981808246,3.83E-34,210.4585038,
ENSG00000229953,5.980626908,3.11E-08,68.71162589,
ENSG00000111206,5.980159818,1.83E-47,1168.094368,
ENSG00000232040,5.968549746,5.79E-08,27.8774181,
ENSG00000100479,5.966459045,1.66E-38,254.7389769,
ENSG00000176912,5.956866706,2.28E-06,8.770204633,
ENSG00000128965,5.9509765,2.40E-27,602.6443791,
ENSG00000143375,5.945734851,1.82E-14,57.8306843,
ENSG00000265688,5.942692051,7.01E-07,14.94423993,
ENSG00000177469,5.932628556,5.36E-07,12.30261775,
ENSG00000178162,5.930738633,5.18E-10,55.28052453,
ENSG00000256018,5.926469095,5.85E-07,16.82914434,
ENSG00000100162,5.9206621,8.56E-41,523.1766741,
ENSG00000143228,5.904240694,4.49E-38,721.9260097,
ENSG00000162620,5.896111416,6.76E-14,72.99803519,
ENSG00000196517,5.895841847,6.71E-31,440.4512311,
ENSG00000197262,5.891560142,9.23E-18,74.0264615,
ENSG00000152952,5.889193549,1.05E-05,6.306267356,
ENSG00000104147,5.888414565,3.73E-25,155.0306502,
ENSG00000258987,5.887668662,6.23E-06,11.8660505,
ENSG00000150456,5.887577883,3.96E-27,115.4783608,
ENSG00000090861,5.886273798,1.19E-46,8251.646632,
ENSG00000136235,5.885062804,1.90E-08,39.71685683,
ENSG00000270141,5.883101384,9.28E-05,4.416730582,
ENSG00000166851,5.867911416,6.39E-45,1387.572499,
ENSG00000111424,5.862142617,6.07E-43,1339.325551,
ENSG00000138119,5.850605783,4.18E-13,51.4313621,
ENSG00000151917,5.826438177,8.41E-06,6.399518174,
ENSG00000168062,5.820903532,4.17E-08,116.7352508,
ENSG00000114346,5.815261301,7.58E-59,844.673378,
ENSG00000205020,5.806308865,4.36E-19,81.17769772,
ENSG00000167920,5.805522489,9.99E-28,164.0036962,
ENSG00000179750,5.796028676,2.07E-44,931.7406313,
ENSG00000116761,5.793655747,2.35E-36,1048.253964,
ENSG00000136099,5.792149079,7.28E-05,4.207451185,
ENSG00000110328,5.783305837,0.000129023,4.156824611,
ENSG00000272097,5.776033239,8.49E-07,16.82249605,
ENSG00000176532,5.731908606,2.82E-06,11.97472742,
ENSG00000198736,5.728469179,1.12E-55,798.698127,
ENSG00000041982,5.71590599,1.46E-05,6.717835262,
ENSG00000255121,5.713073401,1.38E-13,41.40679424,
ENSG00000226856,5.709776518,2.61E-05,5.339675454,
ENSG00000085871,5.707008118,2.93E-14,94.41375229,
ENSG00000122043,5.706157566,0.000130724,5.174064644,
ENSG00000128311,5.697193629,1.58E-38,270.2550871,
ENSG00000177494,5.693822063,8.01E-28,158.5871435,
ENSG00000100167,5.688511098,5.16E-23,141.0276155,
ENSG00000186638,5.688113136,6.77E-30,202.1498643,
ENSG00000143942,5.678953311,1.94E-50,700.3427453,
ENSG00000104067,5.676312114,6.02E-06,15.83557557,
ENSG00000170522,5.668269814,1.82E-20,127.5065927,
ENSG00000165272,5.666963738,1.69E-20,4322.43485,
ENSG00000164303,5.664770877,5.21E-07,20.72373501,
ENSG00000228626,5.662900017,0.000170577,3.488746061,
ENSG00000240204,5.659287182,1.04E-13,44.42655886,
ENSG00000196584,5.646020073,6.35E-26,296.6752747,
ENSG00000163518,5.631630748,2.87E-05,8.380208529,
ENSG00000181938,5.63034749,1.48E-33,317.5955735,
ENSG00000131747,5.625880965,3.45E-54,3567.275744,
ENSG00000183246,5.609586718,1.99E-08,59.24670503,
ENSG00000248590,5.601917857,6.62E-06,13.36044921,
ENSG00000148225,5.582579984,9.99E-09,24.80645736,
ENSG00000118804,5.572966053,2.12E-07,38.71676126,
ENSG00000137766,5.565997132,1.41E-05,10.45166767,
ENSG00000110876,5.551989217,6.35E-17,2821.035166,
ENSG00000156509,5.531312098,1.48E-11,47.31633291,
ENSG00000097021,5.520719687,2.22E-37,439.8362116,
ENSG00000167851,5.515502526,3.34E-27,525.768439,
ENSG00000105976,5.513477965,1.41E-15,67.3883891,
ENSG00000196532,5.486184874,2.69E-07,16.4336026,
ENSG00000109084,5.483837805,2.43E-43,599.3440904,
ENSG00000100427,5.482939789,2.87E-12,58.33188977,
ENSG00000198729,5.478337203,0.000388184,3.379217022,
ENSG00000100350,5.472035737,4.45E-19,293.4611415,
ENSG00000154537,5.467631087,5.05E-13,75.33448211,
ENSG00000188985,5.467165853,8.99E-67,981.2908359,
ENSG00000121152,5.464870131,3.97E-40,1005.69049,
ENSG00000203999,5.459325284,4.96E-05,5.603967648,
ENSG00000101347,5.457260398,1.38E-39,3460.38249,
ENSG00000180712,5.455611269,2.38E-11,59.71177837,
ENSG00000140465,5.453903979,2.81E-07,10.10241094,
ENSG00000101306,5.450195342,2.38E-05,7.135435343,
ENSG00000006042,5.434401539,1.03E-05,9.025426703,
ENSG00000223722,5.43299402,1.61E-08,28.90774144,
ENSG00000029153,5.430524423,2.60E-23,384.3084313,
ENSG00000143603,5.42899584,9.19E-33,2795.023692,
ENSG00000111981,5.427946603,7.63E-10,18.68702213,
ENSG00000174951,5.426647603,4.36E-06,7.910629688,
ENSG00000173207,5.425753254,3.03E-32,1668.314369,
ENSG00000133739,5.422343886,2.27E-51,306.5141689,
ENSG00000132763,5.417649712,9.85E-34,212.3254003,
ENSG00000177602,5.406094588,1.16E-29,326.6444673,
ENSG00000236404,5.402488114,3.60E-06,7.511371656,
ENSG00000100867,5.385760151,0.000225369,5.177165951,
ENSG00000230453,5.384794449,0.000427689,3.478541396,
ENSG00000141316,5.38309517,2.01E-06,34.82979987,
ENSG00000272143,5.368642283,8.16E-05,5.336806878,
ENSG00000227449,5.347953397,2.65E-09,36.25744466,
ENSG00000221955,5.34392573,5.45E-12,110.1037803,
ENSG00000100385,5.334301037,1.42E-20,2066.287689,
ENSG00000104738,5.330466692,2.11E-42,3020.041167,
ENSG00000260498,5.329733117,5.39E-05,6.426376787,
ENSG00000254536,5.327134235,5.50E-08,14.86018512,
ENSG00000111247,5.327005732,2.88E-38,529.4778215,
ENSG00000214050,5.323935038,9.94E-07,66.79320726,
ENSG00000106477,5.319758672,6.20E-33,207.5006885,
ENSG00000196934,5.319166405,7.80E-09,63.96949647,
ENSG00000168061,5.317563873,3.88E-21,129.6226249,
ENSG00000251230,5.315823685,2.05E-06,9.941327718,
ENSG00000211857,5.306376068,0.000443665,2.999663003,
ENSG00000163191,5.304554454,1.81E-31,1266.655288,
ENSG00000135525,5.303596069,4.11E-18,56.17977665,
ENSG00000112782,5.302122987,1.14E-23,137.706361,
ENSG00000228716,5.300166277,5.04E-58,2715.085299,
ENSG00000162174,5.29944699,1.90E-17,62.96094103,
ENSG00000017427,5.289095353,8.46E-21,1301.209792,
ENSG00000188373,5.286256537,7.39E-07,11.23885575,
ENSG00000167912,5.279792672,1.18E-27,96.08513994,
ENSG00000169245,5.275043414,0.000320078,20.78020104,
ENSG00000241732,5.272246415,0.000467845,3.200923788,
ENSG00000165118,5.265855461,1.87E-43,300.7624077,
ENSG00000131080,5.262884869,2.56E-06,29.08776165,
ENSG00000138400,5.251380938,3.06E-05,7.802500588,
ENSG00000231890,5.250359258,3.23E-17,60.23982729,
ENSG00000148053,5.248647182,6.71E-10,18.36770051,
ENSG00000185130,5.236854755,0.000117256,4.744509629,
ENSG00000201558,5.224723176,0.0002192,4.535180954,
ENSG00000213160,5.223184199,3.85E-14,47.61348488,
ENSG00000165672,5.220322629,3.69E-53,5225.794026,
ENSG00000197935,5.212467004,6.74E-05,6.298166516,
ENSG00000173218,5.209854822,4.07E-14,285.2099432,
ENSG00000256797,5.206380992,0.000791599,2.541826644,
ENSG00000226806,5.205215425,0.000763963,2.524872695,
ENSG00000163170,5.204072388,5.35E-31,505.0879478,
ENSG00000173988,5.199649854,0.000554489,3.257005709,
ENSG00000135898,5.197972243,1.26E-37,459.0340292,
ENSG00000136824,5.197226456,1.94E-46,1787.473376,
ENSG00000253522,5.196267142,3.03E-08,39.13328844,
ENSG00000064309,5.195122599,8.33E-09,17.57231412,
ENSG00000272456,5.194271217,1.16E-07,23.44395882,
ENSG00000149150,5.191274594,1.02E-23,292.7751072,
ENSG00000160791,5.190784839,1.08E-07,32.71725943,
ENSG00000149289,5.187862799,4.06E-07,20.32199707,
ENSG00000089163,5.17780706,3.35E-06,28.80311957,
ENSG00000149485,5.17501061,2.02E-15,685.8964431,
ENSG00000115318,5.171060269,4.54E-21,169.8547665,
ENSG00000181458,5.170357506,8.76E-14,222.0682164,
ENSG00000233589,5.167253677,9.75E-05,6.441320365,
ENSG00000159450,5.161011243,0.000921166,2.513557639,
ENSG00000258056,5.158695456,5.98E-10,84.44084717,
ENSG00000174007,5.15567653,1.66E-20,93.48183722,
ENSG00000249096,5.155490042,8.15E-16,830.3071355,
ENSG00000144283,5.152212404,9.31E-29,428.6051346,
ENSG00000164070,5.151727638,3.36E-12,27.91008975,
ENSG00000132646,5.145375178,1.02E-40,4320.702581,
ENSG00000137804,5.141072732,1.10E-53,2282.326483,
ENSG00000138778,5.135022052,1.90E-59,993.848848,
ENSG00000111305,5.128950651,1.02E-06,9.637485367,
ENSG00000234132,5.128145766,NA,3.03376254,
ENSG00000270145,5.118857399,3.30E-10,19.41965681,
ENSG00000173727,5.118099717,9.45E-13,78.48292141,
ENSG00000216829,5.105625554,5.46E-07,19.52908007,
ENSG00000174705,5.102788998,0.000900303,3.07487965,
ENSG00000091137,5.101472323,1.94E-33,107.3827364,
ENSG00000239672,5.088296234,2.57E-24,811.3236122,
ENSG00000198056,5.084088033,5.19E-82,551.1540125,
ENSG00000213574,5.083954046,0.000333506,3.582463544,
ENSG00000169122,5.075938952,8.98E-05,8.746514732,
ENSG00000198722,5.072174658,7.06E-21,274.5150764,
ENSG00000180535,5.071209573,8.06E-19,812.5806622,
ENSG00000138794,5.069974065,4.18E-51,403.7418514,
ENSG00000196622,5.068030077,7.45E-09,65.71129711,
ENSG00000228203,5.067405073,0.000259843,5.882433782,
ENSG00000065485,5.066841116,3.32E-31,1182.049009,
ENSG00000155660,5.065977885,5.66E-30,22104.65174,
ENSG00000117877,5.063230589,8.91E-16,54.14529555,
ENSG00000243710,5.062944388,3.97E-08,17.84056813,
ENSG00000129195,5.057272753,2.46E-10,39.42981044,
ENSG00000171777,5.056483093,2.52E-18,57.13068043,
ENSG00000235013,5.038806743,1.24E-10,19.58316394,
ENSG00000148798,5.038540659,0.00042804,4.109249841,
ENSG00000259796,5.03631534,0.000378417,4.00943296,
ENSG00000163536,5.034839825,4.73E-18,711.0458342,
ENSG00000119888,5.02438649,0.000847549,3.04902224,
ENSG00000112195,5.020089823,1.05E-17,776.8589449,
ENSG00000149548,5.019789674,1.81E-17,116.9119579,
ENSG00000237594,5.016100825,0.000617026,3.085069304,
ENSG00000235847,5.010073988,3.30E-09,15.26163585,
ENSG00000164484,5.009543579,7.17E-19,233.0948838,
ENSG00000188816,5.008949958,0.00061134,4.878427494,
ENSG00000088986,5.007093862,6.19E-22,5429.710903,
ENSG00000164120,5.00655192,1.34E-13,524.7061411,
ENSG00000120756,5.004471994,3.12E-13,69.6719475,
ENSG00000114529,4.998556911,2.67E-12,39.66632781,
ENSG00000271524,4.993382418,3.56E-05,6.93225362,
ENSG00000166349,4.982051684,0.000106166,7.088516264,
ENSG00000154611,4.970318583,5.03E-11,46.60250262,
ENSG00000164109,4.968887758,1.75E-20,2166.016925,
ENSG00000140451,4.966593916,9.90E-22,459.6635876,
ENSG00000267886,4.965396283,2.37E-05,5.991088888,
ENSG00000136404,4.965153109,3.88E-16,67.23800482,
ENSG00000147592,4.963592345,2.42E-21,441.64895,
ENSG00000071205,4.961635482,1.28E-13,45.30014524,
ENSG00000262172,4.959201473,0.000676361,3.208350324,
ENSG00000179029,4.95704118,4.13E-34,203.228667,
ENSG00000128050,4.951026996,1.03E-60,4560.116487,
ENSG00000183814,4.945679415,7.33E-46,344.2828406,
ENSG00000178966,4.945677559,2.10E-62,545.2543596,
