ID,log2FC,FDR
ENSG00000269699.5,-1.445016614,8.43E-10
ENSG00000171649.11,-1.098909034,3.79E-14
ENSG00000156925.11,0.468268997,0.010890308
ENSG00000043355.10,0.669607806,0.10342776
ENSG00000174306.21,-0.993287244,4.36E-55
ENSG00000259305.5,0.409673497,0.000128588
ENSG00000165156.14,-0.479820682,4.36E-12
ENSG00000138658.15,0.366555074,3.08E-05
ENSG00000197114.11,0.66127813,5.55E-12
ENSG00000220201.7,0.404555971,0.002118505
ENSG00000162078.11,2.011524648,4.78E-15
ENSG00000174992.7,0.434751057,0.042660741
ENSG00000157077.14,-0.88908457,7.53E-27
ENSG00000159733.13,-0.326555674,0.00044406
ENSG00000155256.17,0.157391594,0.014388415
ENSG00000072121.15,-0.258620665,5.28E-05
ENSG00000100711.13,-0.430393854,6.23E-15
ENSG00000166140.17,0.497644044,1.18E-13
ENSG00000039319.16,-0.12724623,0.119530275
ENSG00000165861.13,-0.333525485,1.60E-10
ENSG00000005889.15,-0.222716396,0.004032766
ENSG00000105278.10,-0.637846352,0.022583836
ENSG00000056097.15,-0.171872279,0.00270305
ENSG00000169946.13,-1.342200774,1.17E-28
ENSG00000179588.8,0.90865294,9.15E-19
ENSG00000162300.11,0.403666846,9.87E-11
ENSG00000189420.8,-0.322822482,0.011571276
ENSG00000186660.14,-0.145478441,0.030374447
ENSG00000184939.15,-0.540055906,5.09E-24
ENSG00000181007.8,-0.165401564,0.094664157
ENSG00000187801.14,0.824269912,4.07E-18
ENSG00000187815.9,0.321167491,1.01E-06
ENSG00000020256.19,0.532909978,1.50E-22
ENSG00000196670.13,0.342458511,1.60E-07
ENSG00000204644.9,-0.851237665,0.012869722
ENSG00000179059.9,0.418802179,0.070599915
ENSG00000181638.17,0.703551965,7.91E-18
ENSG00000136866.13,-1.074699103,6.90E-25
ENSG00000152518.6,-1.348624135,6.08E-58
ENSG00000185650.9,-0.825834472,3.18E-26
ENSG00000120784.15,0.330793124,7.47E-05
ENSG00000180787.5,-0.328018867,1.99E-06
ENSG00000196867.7,-0.718755097,5.16E-16
ENSG00000198939.7,-1.031774835,3.43E-27
ENSG00000142065.13,-0.188211685,0.016063807
ENSG00000184517.11,-0.27009189,3.51E-06
